rand = 2439, rand_cv = 4026
rand = 4603, rand_cv = 561
rand = 3256, rand_cv = 2673
rand = 2245, rand_cv = 555
rand = 1928, rand_cv = 344
rand = 2221, rand_cv = 1704
rand = 3499, rand_cv = 1096
rand = 1789, rand_cv = 1964
rand = 946, rand_cv = 2679
rand = 2775, rand_cv = 2673
rand = 4442, rand_cv = 4143
rand = 3922, rand_cv = 1704
rand = 3478, rand_cv = 1441
rand = 2127, rand_cv = 601
rand = 4013, rand_cv = 3496
rand = 3084, rand_cv = 4105
rand = 1808, rand_cv = 27
rand = 3610, rand_cv = 1629
rand = 3745, rand_cv = 1103
rand = 4741, rand_cv = 1964
rand = 4666, rand_cv = 4497
rand = 2628, rand_cv = 157
rand = 2381, rand_cv = 824
rand = 4979, rand_cv = 676
rand = 4606, rand_cv = 3855
rand = 657, rand_cv = 4497
rand = 1696, rand_cv = 4295
rand = 4041, rand_cv = 534
rand = 1982, rand_cv = 210
rand = 829, rand_cv = 4482
rand = 1856, rand_cv = 4497
rand = 1974, rand_cv = 4181
rand = 14, rand_cv = 1754
rand = 4539, rand_cv = 3344
rand = 1319, rand_cv = 4520
rand = 3998, rand_cv = 356
rand = 4662, rand_cv = 653
rand = 1261, rand_cv = 3555
rand = 2503, rand_cv = 4520
rand = 1485, rand_cv = 3366
rand = 459, rand_cv = 1553
rand = 3671, rand_cv = 4482
rand = 1507, rand_cv = 521
rand = 2731, rand_cv = 2432
rand = 4943, rand_cv = 4701
rand = 434, rand_cv = 405
rand = 1786, rand_cv = 3473
rand = 4853, rand_cv = 4854
rand = 1965, rand_cv = 3137
rand = 591, rand_cv = 1170
rand = 2261, rand_cv = 534
rand = 4372, rand_cv = 1369
rand = 306, rand_cv = 3329
rand = 4384, rand_cv = 4024
rand = 3670, rand_cv = 3785
rand = 2906, rand_cv = 2615
rand = 2563, rand_cv = 788
rand = 2664, rand_cv = 4759
rand = 3886, rand_cv = 4365
rand = 4943, rand_cv = 1877
rand = 347, rand_cv = 4577
rand = 4171, rand_cv = 3075
rand = 4445, rand_cv = 3644
rand = 4765, rand_cv = 4497
rand = 4391, rand_cv = 3344
rand = 1463, rand_cv = 1877
rand = 2496, rand_cv = 2042
rand = 2155, rand_cv = 1754
rand = 2646, rand_cv = 248
rand = 4778, rand_cv = 3004
rand = 1979, rand_cv = 405
rand = 847, rand_cv = 1102
rand = 2638, rand_cv = 601
rand = 1360, rand_cv = 653
rand = 4771, rand_cv = 4181
rand = 3943, rand_cv = 2517
rand = 2411, rand_cv = 3855
rand = 390, rand_cv = 4843
rand = 4275, rand_cv = 3915
rand = 3015, rand_cv = 1947
rand = 503, rand_cv = 3555
rand = 3344, rand_cv = 1096
rand = 1220, rand_cv = 3915
rand = 638, rand_cv = 3329
rand = 167, rand_cv = 2660
rand = 3339, rand_cv = 4482
rand = 3884, rand_cv = 3268
rand = 3514, rand_cv = 1253
rand = 4683, rand_cv = 1791
rand = 780, rand_cv = 2728
rand = 4217, rand_cv = 1618
rand = 1373, rand_cv = 3455
rand = 4455, rand_cv = 4181
rand = 4540, rand_cv = 3845
rand = 110, rand_cv = 1944
rand = 1490, rand_cv = 848
rand = 4844, rand_cv = 4105
rand = 665, rand_cv = 2858
rand = 3505, rand_cv = 4314
rand = 1922, rand_cv = 4195
rand = 4532, rand_cv = 601
rand = 167, rand_cv = 1618
rand = 1427, rand_cv = 88
rand = 1523, rand_cv = 2638
rand = 2097, rand_cv = 248
rand = 4948, rand_cv = 4439
rand = 213, rand_cv = 4026
rand = 3769, rand_cv = 3554
rand = 1005, rand_cv = 2393
rand = 2571, rand_cv = 3611
rand = 1241, rand_cv = 3455
rand = 470, rand_cv = 3555
rand = 2811, rand_cv = 248
rand = 2745, rand_cv = 2098
rand = 3254, rand_cv = 64
rand = 2048, rand_cv = 4641
rand = 4980, rand_cv = 1758
rand = 658, rand_cv = 278
rand = 1629, rand_cv = 4759
rand = 1226, rand_cv = 1618
rand = 3600, rand_cv = 3157
rand = 506, rand_cv = 1877
rand = 529, rand_cv = 3116
rand = 3075, rand_cv = 4773
rand = 505, rand_cv = 2636
rand = 1212, rand_cv = 4497
rand = 3875, rand_cv = 1618
rand = 4398, rand_cv = 3137
rand = 2073, rand_cv = 1983
rand = 37, rand_cv = 4695
rand = 4280, rand_cv = 448
rand = 4421, rand_cv = 2556
rand = 1004, rand_cv = 2615
rand = 296, rand_cv = 762
rand = 3153, rand_cv = 4026
rand = 150, rand_cv = 3765
rand = 1081, rand_cv = 1758
rand = 4001, rand_cv = 1375
rand = 1244, rand_cv = 20
rand = 2912, rand_cv = 356
rand = 4429, rand_cv = 2686
rand = 2910, rand_cv = 4453
rand = 2254, rand_cv = 1833
rand = 2122, rand_cv = 728
rand = 3060, rand_cv = 3137
rand = 4916, rand_cv = 4795
rand = 2955, rand_cv = 146
rand = 4657, rand_cv = 2636
rand = 4517, rand_cv = 3715
rand = 1126, rand_cv = 3547
rand = 4763, rand_cv = 1933
rand = 1027, rand_cv = 4934
rand = 3840, rand_cv = 1306
rand = 2239, rand_cv = 1882
rand = 3399, rand_cv = 2728
rand = 363, rand_cv = 175
rand = 2613, rand_cv = 1833
rand = 2205, rand_cv = 4054
rand = 69, rand_cv = 3565
rand = 1806, rand_cv = 1912
rand = 1196, rand_cv = 3474
rand = 4834, rand_cv = 3474
rand = 1217, rand_cv = 581
rand = 3918, rand_cv = 2393
rand = 3320, rand_cv = 1618
rand = 4231, rand_cv = 3792
rand = 4045, rand_cv = 2902
rand = 4701, rand_cv = 313
rand = 2688, rand_cv = 2556
rand = 3676, rand_cv = 119
rand = 3648, rand_cv = 3004
rand = 3120, rand_cv = 3915
rand = 590, rand_cv = 124
rand = 451, rand_cv = 3715
rand = 4734, rand_cv = 4793
rand = 1940, rand_cv = 1375
rand = 4834, rand_cv = 129
rand = 4689, rand_cv = 3644
rand = 4181, rand_cv = 4462
rand = 3295, rand_cv = 1375
rand = 3157, rand_cv = 1812
rand = 3993, rand_cv = 4695
rand = 2105, rand_cv = 2728
rand = 2497, rand_cv = 1441
rand = 1523, rand_cv = 1681
rand = 4695, rand_cv = 3646
rand = 978, rand_cv = 997
rand = 1197, rand_cv = 3792
rand = 4294, rand_cv = 248
rand = 392, rand_cv = 4526
rand = 700, rand_cv = 3915
rand = 1051, rand_cv = 3256
rand = 2906, rand_cv = 2445
rand = 923, rand_cv = 3780
rand = 2512, rand_cv = 4840
rand = 4829, rand_cv = 453
rand = 3154, rand_cv = 848
rand = 2078, rand_cv = 1833
rand = 4781, rand_cv = 298
rand = 4891, rand_cv = 4848
rand = 1288, rand_cv = 2673
rand = 4166, rand_cv = 4014
rand = 2327, rand_cv = 3496
rand = 2027, rand_cv = 3634
rand = 193, rand_cv = 552
rand = 3052, rand_cv = 2558
rand = 4239, rand_cv = 939
rand = 1101, rand_cv = 601
rand = 2314, rand_cv = 2042
rand = 1516, rand_cv = 3496
rand = 148, rand_cv = 4105
rand = 4546, rand_cv = 3765
rand = 1615, rand_cv = 1112
rand = 350, rand_cv = 534
rand = 3068, rand_cv = 248
rand = 4452, rand_cv = 676
rand = 4775, rand_cv = 3555
rand = 1974, rand_cv = 4057
rand = 4989, rand_cv = 4054
rand = 1462, rand_cv = 3705
rand = 1444, rand_cv = 3547
rand = 3184, rand_cv = 788
rand = 1118, rand_cv = 2839
rand = 3852, rand_cv = 2654
rand = 3156, rand_cv = 555
rand = 3142, rand_cv = 4482
rand = 328, rand_cv = 3219
rand = 1348, rand_cv = 2403
rand = 1819, rand_cv = 1435
rand = 4194, rand_cv = 889
rand = 2480, rand_cv = 1306
rand = 510, rand_cv = 1375
rand = 797, rand_cv = 2654
rand = 3564, rand_cv = 1964
rand = 140, rand_cv = 124
rand = 3667, rand_cv = 1618
rand = 2995, rand_cv = 2673
rand = 3640, rand_cv = 4863
rand = 678, rand_cv = 4483
rand = 3198, rand_cv = 1933
rand = 1555, rand_cv = 4497
rand = 1747, rand_cv = 1096
rand = 716, rand_cv = 2144
rand = 1066, rand_cv = 3455
rand = 1216, rand_cv = 3360
rand = 1819, rand_cv = 3758
rand = 2160, rand_cv = 3644
rand = 2554, rand_cv = 345
rand = 2582, rand_cv = 3634
rand = 89, rand_cv = 4181
rand = 4321, rand_cv = 1941
rand = 4998, rand_cv = 2673
rand = 2473, rand_cv = 3455
rand = 2798, rand_cv = 3845
rand = 2751, rand_cv = 555
rand = 24, rand_cv = 1791
rand = 2868, rand_cv = 2104
rand = 1855, rand_cv = 3455
rand = 3220, rand_cv = 4641
rand = 1020, rand_cv = 3555
rand = 1119, rand_cv = 2728
rand = 3010, rand_cv = 3705
rand = 4575, rand_cv = 3219
rand = 4138, rand_cv = 405
rand = 198, rand_cv = 4295
rand = 1437, rand_cv = 371
rand = 2149, rand_cv = 3915
rand = 2369, rand_cv = 467
rand = 1765, rand_cv = 2673
rand = 407, rand_cv = 4712
rand = 2060, rand_cv = 2636
